match_id;duration;start_time;radiant_team_id;radiant_name;dire_team_id;dire_name;leagueid;league_name;series_id;series_type;radiant_score;dire_score;radiant_win;version
8027585898;1927;1731174845;8761147.0;tam_sme;9571312.0;Casually masculine;17170;Dota Masters Bulgaria;924186;1;25;18;True;21
8027574681;2476;1731174458;9530716.0;Air Defence;9120549.0;Rakuzan;17366;Ultras Dota Pro League  2024-25;924206;1;35;50;False;21
8027500320;4390;1731173100;8255888.0;BetBoom Team;7119388.0;Team Spirit;17272;DreamLeague Season 24 powered by Intel;924214;1;33;47;False;21
8027482582;1869;1731171686;9571312.0;Casually masculine;8761147.0;tam_sme;17170;Dota Masters Bulgaria;924186;1;12;31;False;21
8027474256;1546;1731171512;9120549.0;Rakuzan;9530716.0;Air Defence;17366;Ultras Dota Pro League  2024-25;924206;1;30;25;True;21
8027372566;1896;1731168574;8761147.0;tam_sme;9571312.0;Casually masculine;17170;Dota Masters Bulgaria;924186;1;8;26;False;21
8027307030;2136;1731166699;8831040.0;Ghost Sheep;9504780.0;Rakuzan;17366;Ultras Dota Pro League  2024-25;923445;1;41;24;True;21
8027221957;1544;1731164408;9572357.0;Студените;8589454.0;forbidden psychology;17170;Dota Masters Bulgaria;924127;1;26;6;True;21
8027204751;2497;1731164828;9572001.0;PARIVISION;9247354.0;Team Falcons;17272;DreamLeague Season 24 powered by Intel;924118;1;9;44;False;21
8027130729;3665;1731161961;8831040.0;Ghost Sheep;9120549.0;Rakuzan;17366;Ultras Dota Pro League  2024-25;924123;1;44;55;True;21
8027046706;2900;1731159711;8589454.0;forbidden psychology;9572357.0;Студените;17170;Dota Masters Bulgaria;924127;1;42;32;False;21
8027027191;2311;1731159137;9120549.0;Rakuzan;8831040.0;Ghost Sheep;17366;Ultras Dota Pro League  2024-25;924123;1;55;26;True;21
8027003149;2395;1731160504;9247354.0;Team Falcons;9572001.0;PARIVISION;17272;DreamLeague Season 24 powered by Intel;924118;1;31;9;True;21
8026929437;1339;1731156296;9587203.0;business club;9594120.0;Team Flamingos;17366;Ultras Dota Pro League  2024-25;924084;1;36;30;True;21
8026846681;1549;1731153717;9594120.0;Team Flamingos;9587203.0;business club;17366;Ultras Dota Pro League  2024-25;924084;1;17;52;False;21
8026780185;2039;1731151399;9546850.0;SMALL CAMP;9449139.0;piggg;17184;Major League (D2AU);924049;1;44;18;True;21
8026712168;2584;1731148869;9594120.0;Team Flamingos;9586443.0;Nethercore;17366;Ultras Dota Pro League  2024-25;924045;1;39;53;False;21
8026660950;3216;1731146869;9449139.0;piggg;9546850.0;SMALL CAMP;17184;Major League (D2AU);924049;1;39;29;True;21
8026641417;1831;1731146016;9586443.0;Nethercore;9594120.0;Team Flamingos;17366;Ultras Dota Pro League  2024-25;924045;1;48;35;True;21
8026509046;2285;1731140108;9586443.0;Nethercore;9586420.0;KIBA ARMS;17366;Ultras Dota Pro League  2024-25;924017;1;35;34;True;21
8026508856;940;1731140133;8629324.0;Swift Knights;8629317.0;Bright Crusaders;17233;Destiny League;924005;1;37;8;True;21
8026462392;1846;1731137856;9586712.0;Kiba Arms;9586443.0;Nethercore;17366;Ultras Dota Pro League  2024-25;924006;1;26;37;False;21
